iter	RMSE
0	481.0959886
1	476.7752092
2	472.4858312
3	469.4731576
4	465.5089702
5	462.0567591
6	458.7039603
7	454.9085177
8	451.4823958
9	448.1099441
10	445.027449
11	442.3210008
12	439.4620188
13	436.7181009
14	434.1041464
15	431.425602
16	429.0778125
17	426.8493546
18	424.2158551
19	422.1378623
20	418.1740377
21	414.1734107
22	410.7666139
23	406.326061
24	403.1408617
25	399.6186445
26	396.6405505
27	392.932352
28	389.0655632
29	385.6703708
30	382.450819
31	379.7602028
32	377.0967399
33	374.5779614
34	371.7330113
35	368.8400627
36	366.0045189
37	363.9129877
38	361.9142171
39	359.7873327
40	358.536184
41	357.1278551
42	354.8183474
43	353.0291665
44	350.8689623
45	349.8302239
46	347.801435
47	345.7092899
48	343.938483
49	342.9906801
50	340.9041633
51	339.5997242
52	338.0930689
53	337.0649474
54	335.3737
55	333.7365909
56	331.9040942
57	330.3706178
58	328.8099742
59	327.0352602
60	326.1109784
61	324.6850467
62	324.0223449
63	322.8206469
64	322.1700839
65	320.8292256
66	320.0418653
67	318.916874
68	318.1312702
69	317.0141907
70	316.5911754
71	315.4827647
72	313.4227196
73	310.981646
74	310.4866493
75	309.638233
76	308.8928718
77	308.3857903
78	307.6661089
79	306.7131243
80	306.2146931
81	305.4810646
82	303.3026657
83	302.6386361
84	302.2538112
85	301.6506447
86	301.0697114
87	298.8994775
88	298.4441579
89	296.5990743
90	296.0931595
91	295.6478716
92	293.6986576
93	292.9818348
94	292.4401094
95	291.9950055
96	290.337256
97	288.9968465
98	287.3636565
99	287.1357314
100	285.951426
101	285.4086798
102	284.0573621
103	283.6906143
104	282.2018324
105	280.8011785
106	280.5585144
107	279.2013284
108	278.8786773
109	277.4594833
110	277.2884523
111	276.8488071
112	276.5600282
113	275.3161181
114	274.0418798
115	272.7458948
116	272.1665348
117	271.0045427
118	269.783589
119	269.4048343
120	269.0046942
121	268.7646901
122	268.5102676
123	268.4230469
124	267.3664341
125	267.0448767
126	266.8221298
127	266.7887343
128	266.4619367
129	266.2788436
130	265.8828585
131	264.7903004
132	264.5460139
133	264.3907208
134	264.3125233
135	263.3550932
136	263.1822269
137	262.2153303
138	261.2675246
139	260.5401304
140	260.3261016
141	260.0644998
142	259.8594862
143	258.7906165
144	258.4486057
145	258.262771
146	258.1839238
147	257.850713
148	257.6939695
149	257.3894026
150	257.0711272
151	256.9952057
152	256.8034604
153	256.5137698
154	255.6640327
155	255.3749469
156	255.1779892
157	254.9294611
158	254.0297016
159	253.220818
160	253.0365905
161	252.9419336
162	252.8839992
163	252.1374031
164	251.9453617
165	251.7899301
166	251.7121386
167	251.6302781
168	251.4302784
169	250.6349562
170	250.5676837
171	250.4119806
172	250.2030418
173	249.5534722
174	249.4438934
175	249.3998797
176	249.256923
177	249.1747725
178	248.2936041
179	248.0368407
180	247.8577272
181	247.8071379
182	247.7095915
183	247.2634438
184	247.1079069
185	246.2729416
186	245.7225338
187	245.5378298
188	245.3909509
189	245.0011834
190	244.8871772
191	244.609003
192	243.8758469
193	243.3898193
194	242.7754321
195	242.2332286
196	241.9940538
197	241.7778591
198	241.7023871
199	241.5699033
200	241.0172532
201	240.4531413
202	240.3718495
203	240.2940401
204	239.6240606
205	239.1920345
206	238.7298089
207	238.6955442
208	238.0497095
209	238.0109179
210	237.4105193
211	237.2917377
212	237.1179113
213	236.955493
214	236.5302977
215	236.3904686
216	236.3268173
217	236.2873907
218	235.6718473
219	235.2162139
220	235.137006
221	234.5839134
222	234.5042774
223	234.3758409
224	234.2642818
225	233.9391678
226	233.3776338
227	233.0721659
228	233.0092569
229	232.791959
230	232.7538511
231	232.7160493
232	232.5740876
233	232.3605218
234	231.9516271
235	231.7972853
236	231.5307729
237	231.3719674
238	231.0991235
239	230.8308393
240	230.6184384
241	230.4051057
242	230.3660956
243	229.9478982
244	229.7224281
245	229.4618476
246	229.2471095
247	229.0893246
248	228.7043285
249	228.487412
250	228.4229214
251	228.2813605
252	228.2244113
253	228.1832412
254	228.078415
255	227.999758
256	227.9489772
257	227.921678
258	227.8801469
259	227.7828783
260	227.6264531
261	227.3677881
262	226.9288682
263	226.787379
264	226.6995581
265	226.5724656
266	226.5415218
267	226.4888322
268	226.3325082
269	226.2507232
270	226.1273293
271	226.0943045
272	226.0457311
273	226.011069
274	225.9279015
275	225.8173081
276	225.5804722
277	225.4588827
278	225.2504434
279	225.174612
280	225.1359894
281	225.055803
282	224.9958163
283	224.8072927
284	224.6737266
285	224.5112808
286	224.3704504
287	224.2939302
288	224.1603879
289	224.0134729
290	223.9670793
291	223.9292236
292	223.7357544
293	223.5831073
294	223.5397694
295	223.3071567
296	223.2499897
297	223.1640314
298	223.0461301
299	222.7069941
300	222.5323406
301	222.4935184
302	222.4611047
303	222.4353836
304	222.3936651
305	222.2878914
306	222.2088066
307	221.831587
308	221.7190153
309	221.6723139
310	221.6377253
311	221.6015499
312	221.431981
313	221.3053032
314	221.1644708
315	221.1194762
316	221.0085387
317	220.8978541
318	220.7443855
319	220.7235731
320	220.6720907
321	220.5157812
322	220.4740541
323	220.4171308
324	220.2940585
325	220.2111259
326	220.0798931
327	219.9736824
328	219.8774928
329	219.7767631
330	219.6413967
331	219.4729945
332	219.3232429
333	219.2192462
334	219.1685141
335	219.1157029
336	219.0384814
337	218.9892738
338	218.8569603
339	218.8183355
340	218.6456171
341	218.5834822
342	218.4544298
343	218.4092039
344	218.2150826
345	218.1802969
346	218.0865954
347	218.0283169
348	217.9510567
349	217.8870281
350	217.8068555
351	217.7791655
352	217.6748424
353	217.6553745
354	217.6009541
355	217.5079915
356	217.4120547
357	217.3647822
358	217.1863375
359	217.0845627
360	216.880906
361	216.8404318
362	216.8210956
363	216.7194241
364	216.6384251
365	216.6118037
366	216.487959
367	216.3874778
368	216.3269476
369	216.1985483
370	215.979755
371	215.8267579
372	215.7517878
373	215.6952839
374	215.5740444
375	215.4443716
376	215.4245233
377	215.3209821
378	215.1187366
379	215.1050309
380	214.921039
381	214.8149407
382	214.737377
383	214.6584981
384	214.534419
385	214.4474887
386	214.3551553
387	214.2394085
388	214.1492112
389	214.1125001
390	214.0391213
391	213.8829171
392	213.8741134
393	213.8306211
394	213.7069593
395	213.6139205
396	213.5713476
397	213.4816848
398	213.3861424
399	213.3548121
400	213.2962449
401	213.164586
402	213.0445642
403	212.942737
404	212.8227839
405	212.7547334
406	212.7139328
407	212.5065452
408	212.4560594
409	212.4437678
410	212.4296778
411	212.3110069
412	212.2690192
413	212.2125967
414	212.1231933
415	212.0516797
416	211.9584058
417	211.9157225
418	211.8085885
419	211.4495214
420	211.3110705
421	211.1933872
422	211.1715352
423	211.0922508
424	211.0000187
425	210.9674308
426	210.8643786
427	210.8269419
428	210.7931973
429	210.7551794
430	210.717386
431	210.3748194
432	210.27815
433	210.2070602
434	210.1355886
435	210.0802885
436	209.9335566
437	209.8620766
438	209.7127719
439	209.6693626
440	209.5917425
441	209.4667172
442	209.3984628
443	209.2927358
444	209.2423813
445	209.132048
446	209.0356302
447	209.0192393
448	208.8985672
449	208.8285456
450	208.8059407
451	208.7304012
452	208.642728
453	208.5580751
454	208.5235398
455	208.4410338
456	208.4004352
457	208.3411369
458	208.2853047
459	208.1601904
460	208.1139202
461	208.0706642
462	207.7829465
463	207.7719804
464	207.699489
465	207.5765298
466	207.5128556
467	207.4854172
468	207.4524544
469	207.4206199
470	207.3629703
471	207.2006147
472	207.0927069
473	207.0337596
474	206.9185088
475	206.8870146
476	206.8427478
477	206.8322974
478	206.7694685
479	206.7543158
480	206.6898891
481	206.6559652
482	206.5278431
483	206.4794347
484	206.4653398
485	206.4093754
486	206.391611
487	206.2820351
488	206.2701941
489	206.252793
490	206.2173222
491	206.1991567
492	206.1467986
493	206.0878564
494	206.0110771
495	205.9342297
496	205.919688
497	205.9049206
498	205.8416331
499	205.7593952
500	205.7462599
501	205.6566515
502	205.548571
503	205.4503718
504	205.3164721
505	205.2779574
506	205.2405088
507	204.9222177
508	204.8836906
509	204.7998426
510	204.7214946
511	204.5707883
512	204.519727
513	204.3937795
514	204.3457422
515	204.3198802
516	204.2898739
517	204.1571405
518	204.0725764
519	204.0613711
520	204.0153683
521	203.9785921
522	203.9643012
523	203.9233232
524	203.8808076
525	203.7652706
526	203.7028158
527	203.6941692
528	203.6180008
529	203.5316879
530	203.2214277
531	203.184217
532	203.1572457
533	203.0355715
534	203.0022207
535	202.9674197
536	202.9157096
537	202.8950321
538	202.886045
539	202.8699146
540	202.807162
541	202.7685679
542	202.7411066
543	202.5493708
544	202.4980204
545	202.4587906
546	202.4324523
547	202.4056913
548	202.3689352
549	202.3371738
550	202.2213329
551	202.0961915
552	201.9763976
553	201.9350006
554	201.8974721
555	201.8568501
556	201.789378
557	201.7649644
558	201.74222
559	201.6541643
560	201.6093922
561	201.5538335
562	201.4959185
563	201.481951
564	201.4730719
565	201.4489342
566	201.3803318
567	201.3027781
568	201.2611604
569	201.1816724
570	201.0739684
571	200.9771706
572	200.8481595
573	200.7656962
574	200.7218287
575	200.6298067
576	200.6077323
577	200.5699724
578	200.4357033
579	200.4102655
580	200.2839727
581	200.1839535
582	200.078089
583	200.0484663
584	199.9484399
585	199.9103354
586	199.8724925
587	199.8395398
588	199.7579663
589	199.6413616
590	199.609702
591	199.5997244
592	199.4904015
593	199.446141
594	199.4148199
595	199.3917013
596	199.2646112
597	199.1620793
598	199.1271215
599	199.0699671
600	199.0200999
601	198.9660445
602	198.9292241
603	198.8772415
604	198.8272864
605	198.7818776
606	198.7697343
607	198.7313335
608	198.7051194
609	198.6621446
610	198.6455091
611	198.6192249
612	198.5510855
613	198.4663304
614	198.3660689
615	198.2948684
616	198.2657866
617	198.1859128
618	198.0196765
619	197.8807428
620	197.8547657
621	197.7735625
622	197.7612839
623	197.5686735
624	197.3262995
625	197.2696314
626	197.2374707
627	197.2061957
628	197.0693743
629	197.0626233
630	197.0228605
631	196.9846054
632	196.9197884
633	196.8975912
634	196.886479
635	196.8547169
636	196.699471
637	196.4265551
638	196.3944601
639	196.3660608
640	196.3224947
641	196.2920692
642	196.2610711
643	196.2345352
644	196.2046951
645	196.1747734
646	195.9472193
647	195.863028
648	195.8355934
649	195.7802749
650	195.7423169
651	195.6751315
652	195.6371852
653	195.6320034
654	195.576127
655	195.5324249
656	195.3262642
657	195.2535686
658	195.2109643
659	195.1377651
660	195.0952418
661	194.9066723
662	194.8849136
663	194.7939905
664	194.7492882
665	194.7271745
666	194.6693587
667	194.6425023
668	194.3965342
669	194.3654139
670	194.3473987
671	194.3262159
672	194.2216908
673	194.026847
674	194.0050211
675	193.9862635
676	193.900115
677	193.868343
678	193.8105324
679	193.8000047
680	193.7560792
681	193.737075
682	193.6580087
683	193.5487507
684	193.5351368
685	193.5273665
686	193.4949965
687	193.4751391
688	193.4552692
689	193.4300118
690	193.4165335
691	193.395811
692	193.3837328
693	193.3475391
694	193.2960385
695	193.2739146
696	193.2613236
697	193.1373129
698	193.1250562
699	192.9408221
700	192.919819
701	192.865847
702	192.8094751
703	192.7838055
704	192.7738209
705	192.756401
706	192.7096697
707	192.6683047
708	192.6470207
709	192.616019
710	192.5950139
711	192.5348444
712	192.5009499
713	192.462949
714	192.4283017
715	192.3529294
716	192.3272502
717	192.2985102
718	192.2762141
719	192.2613009
720	192.2389613
721	192.1894077
722	192.1577962
723	192.0563776
724	192.035855
725	191.9608861
726	191.9229295
727	191.8844021
728	191.6895393
729	191.6465865
730	191.6271209
731	191.5865496
732	191.5212733
733	191.4430822
734	191.4283022
735	191.302303
736	191.2759782
737	191.1973703
738	191.18456
739	191.1768383
740	191.1638714
741	191.1132715
742	191.1097827
743	191.1009362
744	191.0344397
745	190.7637934
746	190.7285554
747	190.7103848
748	190.6983184
749	190.6347354
750	190.5067006
751	190.471907
752	190.4324838
753	190.3889665
754	190.3608808
755	190.351962
756	190.3264115
757	190.2657036
758	190.109553
759	190.0971663
760	190.06081
761	189.9852121
762	189.8932646
763	189.8672886
764	189.7863003
765	189.7386039
766	189.7084698
767	189.701465
768	189.6563389
769	189.5192155
770	189.4786081
771	189.4337116
772	189.2806011
773	189.1832679
774	189.1302568
775	189.1053186
776	189.0753366
777	188.9129764
778	188.8862028
779	188.8305794
780	188.8102506
781	188.7701005
782	188.7445964
783	188.6725102
784	188.6643043
785	188.5958326
786	188.5821368
787	188.5635871
788	188.5048956
789	188.4622131
790	188.4479255
791	188.4373293
792	188.4131774
793	188.3638622
794	188.2734856
795	188.246642
796	188.1570218
797	188.1414938
798	188.1134242
799	188.0994104
800	188.0793809
801	188.0546536
802	188.0007017
803	187.9577424
804	187.9137375
805	187.8886193
806	187.8650777
807	187.8303493
808	187.8025253
809	187.7726216
810	187.7637394
811	187.7592666
812	187.7165606
813	187.7052112
814	187.6922226
815	187.674031
816	187.6582366
817	187.6081167
818	187.5946116
819	187.5813271
820	187.5553807
821	187.5304739
822	187.5008744
823	187.3274112
824	187.301556
825	187.2801871
826	187.2481042
827	187.2326939
828	187.2038457
829	187.1728776
830	187.1458697
831	187.1235764
832	187.0899227
833	187.0388273
834	187.0269492
835	186.9997044
836	186.9955453
837	186.8321841
838	186.6903366
839	186.6427782
840	186.6237162
841	186.5754159
842	186.5544795
843	186.453518
844	186.4290995
845	186.3903291
846	186.3437247
847	186.3045146
848	186.2949897
849	186.2198448
850	186.0675474
851	186.0450814
852	185.998682
853	185.9880986
854	185.9649613
855	185.859672
856	185.8180596
857	185.7861202
858	185.7454833
859	185.7181325
860	185.6668027
861	185.6586492
862	185.64276
863	185.6404224
864	185.6171684
865	185.6061399
866	185.5965516
867	185.5592442
868	185.5496724
869	185.5363739
870	185.5276217
871	185.4943385
872	185.4673172
873	185.4618128
874	185.3901036
875	185.2178467
876	185.1807296
877	185.169125
878	185.154544
879	185.1210603
880	185.1185412
881	185.0721646
882	184.9502012
883	184.9099489
884	184.8918854
885	184.8577742
886	184.8505667
887	184.8468976
888	184.7809725
889	184.7774658
890	184.7739848
891	184.7578003
892	184.7262951
893	184.6919987
