iter	Passed	Remaining
0	7	10581
1	40	30567
2	71	35489
3	103	38894
4	139	41671
5	168	41989
6	199	42597
7	232	43345
8	265	43912
9	294	43869
10	327	44300
11	359	44525
12	389	44529
13	425	45166
14	456	45169
15	486	45119
16	514	44854
17	548	45191
18	581	45315
19	614	45437
20	644	45420
21	675	45381
22	704	45251
23	739	45451
24	769	45398
25	801	45421
26	834	45521
27	865	45526
28	896	45464
29	942	46165
30	979	46399
31	1013	46474
32	1044	46420
33	1081	46615
34	1115	46699
35	1157	47083
36	1198	47374
37	1238	47637
38	1280	47979
39	1322	48286
40	1355	48238
41	1392	48327
42	1430	48470
43	1468	48608
44	1506	48725
45	1546	48887
46	1582	48920
47	1625	49185
48	1665	49310
49	1684	48836
50	1720	48876
51	1761	49050
52	1798	49093
53	1842	49333
54	1880	49392
55	1917	49454
56	1955	49511
57	1993	49567
58	2030	49587
59	2064	49537
60	2103	49625
61	2143	49722
62	2184	49835
63	2226	49946
64	2262	49943
65	2303	50050
66	2344	50147
67	2385	50240
68	2425	50301
69	2467	50416
70	2512	50565
71	2549	50558
72	2566	50168
73	2605	50208
74	2629	49965
75	2665	49940
76	2705	49998
77	2730	49780
78	2764	49732
79	2802	49737
80	2842	49798
81	2881	49823
82	2922	49893
83	2960	49901
84	2997	49906
85	3034	49900
86	3072	49907
87	3112	49937
88	3154	50004
89	3177	49781
90	3215	49792
91	3252	49772
92	3287	49743
93	3325	49739
94	3364	49759
95	3404	49792
96	3441	49781
97	3459	49490
98	3490	49393
99	3528	49402
100	3549	49168
101	3589	49192
102	3628	49211
103	3663	49173
104	3696	49113
105	3722	48948
106	3747	48781
107	3779	48707
108	3816	48700
109	3851	48672
110	3882	48587
111	3919	48573
112	3956	48557
113	3978	48366
114	4012	48329
115	4045	48266
116	4076	48181
117	4097	47991
118	4130	47938
119	4160	47850
120	4196	47824
121	4232	47807
122	4263	47734
123	4296	47676
124	4321	47539
125	4353	47474
126	4384	47397
127	4406	47230
128	4438	47167
129	4468	47095
130	4500	47030
131	4532	46974
132	4563	46906
133	4595	46844
134	4626	46780
135	4656	46697
136	4690	46662
137	4724	46626
138	4753	46545
139	4785	46489
140	4817	46435
141	4851	46398
142	4885	46357
143	4919	46320
144	4948	46246
145	4980	46193
146	5015	46158
147	5045	46090
148	5077	46040
149	5115	46037
150	5146	45976
151	5178	45925
152	5212	45891
153	5243	45831
154	5273	45760
155	5307	45722
156	5339	45672
157	5369	45605
158	5404	45584
159	5436	45531
160	5470	45496
161	5513	45538
162	5544	45478
163	5563	45325
164	5594	45268
165	5626	45216
166	5660	45183
167	5690	45113
168	5722	45066
169	5761	45073
170	5794	45034
171	5825	44981
172	5860	44953
173	5892	44906
174	5926	44872
175	5954	44793
176	5992	44790
177	6025	44748
178	6056	44696
179	6088	44645
180	6126	44646
181	6161	44619
182	6191	44555
183	6223	44511
184	6259	44491
185	6288	44428
186	6319	44372
187	6353	44338
188	6384	44283
189	6414	44228
190	6449	44201
191	6483	44171
192	6514	44119
193	6541	44038
194	6570	43969
195	6588	43836
196	6619	43780
197	6652	43747
198	6682	43691
199	6713	43635
200	6739	43556
201	6772	43517
202	6806	43489
203	6840	43454
204	6871	43409
205	6904	43367
206	6939	43348
207	6972	43308
208	7003	43261
209	7034	43211
210	7065	43162
211	7096	43116
212	7128	43071
213	7159	43025
214	7181	42923
215	7216	42895
216	7249	42863
217	7281	42817
218	7310	42764
219	7340	42707
220	7376	42689
221	7408	42647
222	7437	42588
223	7469	42550
224	7501	42510
225	7531	42455
226	7556	42375
227	7589	42342
228	7620	42297
229	7652	42253
230	7686	42226
231	7716	42173
232	7746	42125
233	7779	42091
234	7810	42045
235	7841	41996
236	7873	41958
237	7904	41913
238	7934	41863
239	7960	41791
240	7993	41757
241	8023	41710
